Offense Type,Premise,BlockRange,StreetName,Type
Burglary,"Hotel, Motel, Inn, Etc.",2600-2699,NAPOLEON,-
Theft,"Road, Street, or Sidewalk",2000-2099,SAINT CHARLES,ST
Theft,"Road, Street, or Sidewalk",2500-2599,GRAY,ST
Rape,Apartment,2400-2499,PIERCE,ST
Aggravated Assault,Apartment,3700-3799,TUAM,-
Theft,Apartment Parking Lot,3500-3599,ELGIN,ST
Robbery,Restaurant or Cafeteria,3700-3799,SCOTT,ST
Robbery,Convenience Store Parking Lot,3300-3399,EMANCIPATION,AVE
Burglary,Apartment,2400-2499,PIERCE,ST
Theft,Other Parking Lot,3700-3799,HOLMAN,-
Theft,Restaurant or Cafeteria Parking Lot,3700-3799,SCOTT,ST
Aggravated Assault,Residence or House,3000-3099,NAGLE,-
Theft,Commercial Parking Lot or Garage,3300-3399,ALABAMA,ST
Robbery,Convenience Store,3600-3699,LIVE OAK,-
Aggravated Assault,Residence or House,3700-3799,TUAM,-
Robbery,Residence or House,3200-3299,ANITA,ST
Aggravated Assault,Apartment Parking Lot,3200-3299,TRUXILLO,-
Aggravated Assault,"Road, Street, or Sidewalk",3200-3299,ANITA,ST
Burglary,Apartment,2400-2499,PIERCE,ST
Aggravated Assault,Residence or House,3500-3599,DENNIS,ST
AutoTheft,"Road, Street, or Sidewalk",3400-3499,BREMOND,ST
AutoTheft,"Road, Street, or Sidewalk",2900-2999,DREW,ST
AutoTheft,Bar or Night Club Parking Lot,2000-2099,BASTROP,ST
Rape,"Field, Woods, Forest, Park",3400-3499,ANITA,ST
Theft,"Road, Street, or Sidewalk",2500-2599,WEBSTER,ST
Burglary,Residence or House,3600-3699,HADLEY,ST
Burglary,Residence or House,3000-3099,PAIGE,-
Burglary,Residence or House,3100-3199,DREW,ST
Theft,Apartment Parking Lot,3200-3299,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",2300-2399,BASTROP,ST
Theft,Light Rail Platform,3200-3299,SCOTT,ST
Aggravated Assault,"Road, Street, or Sidewalk",3600-3699,BEULAH,ST
AutoTheft,"Road, Street, or Sidewalk",3200-3299,TRUXILLO,-
AutoTheft,"Road, Street, or Sidewalk",2700-2799,TIERWESTER,-
Theft,Residence or House,2300-2399,WEBSTER,ST
Theft,Garage or Carport,2300-2399,DOWLING,ST
Theft,"Church, Synagogue, or Temple Parking Lot",2700-2799,MCGOWEN,ST
Aggravated Assault,"Road, Street, or Sidewalk",2000-2099,BASTROP,ST
Robbery,Freeway Service Road,3400-3499,GULF,FWY
Burglary,Garage or Carport,2200-2299,BASTROP,ST
Aggravated Assault,"Road, Street, or Sidewalk",3700-3799,LIVE OAK,-
Aggravated Assault,Vacant Building (Commercial),3200-3299,EMANCIPATION,AVE
Burglary,Residence or House,3400-3499,ELGIN,ST
Theft,Apartment,3200-3299,TRUXILLO,-
Theft,Convenience Store,2700-2799,SAMPSON,-
Burglary,Residence or House,2500-2599,TRUXILLO,-
Theft,Residence or House,3400-3499,ROSALIE,-
Aggravated Assault,Residence or House,3100-3199,LIVE OAK,-
Theft,Residence or House,3400-3499,FRANCIS,ST
Aggravated Assault,"Road, Street, or Sidewalk",3100-3199,GRAY,ST
Burglary,Miscellaneous Business (Non-Specific),3700-3799,EMANCIPATION,AVE
Robbery,Residence or House,2500-2599,CLEBURNE,ST
Theft,Apartment Parking Lot,2500-2599,WEBSTER,ST
Theft,Other Parking Lot,3600-3699,ENNIS,ST
Theft,"Road, Street, or Sidewalk",2300-2399,LIVE OAK,-
Burglary,Residence or House,2800-2899,HOLMAN,-
Theft,Residence or House,2400-2499,BRILEY,ST
Robbery,"Road, Street, or Sidewalk",3100-3199,HUTCHINS,ST
Aggravated Assault,"Road, Street, or Sidewalk",2500-2599,HOLMAN,-
Theft,Residence or House,3200-3299,MCGOWEN,ST
Rape,Apartment,3800-3899,CANFIELD,ST
Theft,"Road, Street, or Sidewalk",4400-4499,DELANO,ST
Theft,Apartment,4400-4499,MACGREGOR,WAY
Theft,Convenience Store,2600-2699,WHEELER,ST
Theft,Apartment,3700-3799,SOUTHMORE,BLVD
