Offense Type,Beat,Premise,BlockRange,StreetName,Type
Theft,10H60,Service or Gas Station,2300-2399,SOUTHMORE,BLVD
Theft,10H60,"Church, Synagogue, or Temple",4900-4999,CULLEN,BLVD
Theft,10H60,"Road, Street, or Sidewalk",4700-4799,DOWLING,ST
Theft,10H60,"Road, Street, or Sidewalk",4700-4799,DOWLING,ST
Robbery,10H60,"Road, Street, or Sidewalk",2400-2499,WENTWORTH,ST
Theft,10H60,"Road, Street, or Sidewalk",3500-3599,WHEELER,ST
Theft,10H60,Apartment Parking Lot,2600-2699,CALUMET,ST
Theft,10H60,"Road, Street, or Sidewalk",2400-2499,ARBOR,ST
Auto Theft,10H60,"Road, Street, or Sidewalk",2300-2399,BARBEE,ST
Aggravated Assault,10H60,Convenience Store,3700-3799,GRIGGS,RD
Theft,10H60,"Road, Street, or Sidewalk",3000-3099,MACGREGOR,WAY
Aggravated Assault,10H60,Apartment,3600-3699,MACGREGOR,WAY
Robbery,10H60,"Road, Street, or Sidewalk",2200-2299,BLODGETT,ST
Theft,10H60,"Road, Street, or Sidewalk",3300-3399,DIXIE,DR
Robbery,10H60,"Parks and Recreation, Zoo, Swimming Pool",5200-5299,CALHOUN,RD
Burglary,10H60,Residence or House,5300-5399,PALMER,-
Theft,10H60,Commercial Parking Lot or Garage,3700-3799,WHEELER,ST
Burglary,10H60,Garage or Carport,3800-3899,WICHITA,ST
Burglary,10H60,Bar or Night Club,2500-2599,SOUTHMORE,BLVD
Aggravated Assault,10H60,Apartment,3800-3899,CANFIELD,ST
Theft,10H60,Middle School,3100-3199,SOUTHMORE,BLVD
Theft,10H60,"Road, Street, or Sidewalk",4400-4499,DOWLING,ST
Theft,10H60,"Road, Street, or Sidewalk",4400-4499,DOWLING,ST
Theft,10H60,Bar or Night Club Parking Lot,6500-6599,PEERLESS,-
Theft,10H60,"Road, Street, or Sidewalk",2200-2299,ARBOR,ST
Auto Theft,10H60,"Road, Street, or Sidewalk",2500-2599,WENTWORTH,ST
Theft,10H60,"Road, Street, or Sidewalk",2400-2499,WENTWORTH,ST
Theft,10H60,"Road, Street, or Sidewalk",6300-6399,BOWLING GREEN,ST
