Offense Type,Premise,BlockRange,StreetName,Type
Theft,Apartment,2400-2499,MILAM,-
Aggravated Assault,"Road, Street, or Sidewalk",1800-1899,HOWTH,AVE
Aggravated Assault,"Road, Street, or Sidewalk",2300-2399,ROBERTS,ST
Aggravated Assault,Apartment Parking Lot,3500-3599,ELGIN,ST
Aggravated Assault,Apartment,3700-3799,TIERWESTER,-
Theft,Residence or House,8400-8499,PARK PLACE BLVD 12,-
Robbery,Convenience Store,3300-3399,EMANCIPATION,-
Aggravated Assault,"Road, Street, or Sidewalk",2600-2699,ROSALIE,ST
Theft,Bar or Night Club Parking Lot,200-299,TC JESTER,-
Robbery,"Road, Street, or Sidewalk",16200-16299,CORSAIR,RD
Theft,Vacant School or College/University,400-499,NORTH ELDER GROVE,DR
Theft,Residence or House,2100-2199,HOLMAN,-
Theft,"Other, Unknown, or Not Listed",3200-3299,TRUXILLO,-
AutoTheft,"Church, Synagogue, or Temple Parking Lot",3300-3399,HOLMAN,-
Robbery,"Road, Street, or Sidewalk",13100-13199,BELLFORT AVE APT 827,-
Murder,Alley,3000-3099,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",2400-2499,BURKETT ST,ST
Theft,"Road, Street, or Sidewalk",2000-2099,DOWLING ST,ST
Theft,Other Parking Lot,17600-17699,WAYFOREST,ST
Theft,Residence or House,4900-4999,SUNBEAM,-
Theft,Residence or House,3300-3399,MCGOWEN ST,ST
Theft,Residence or House,3700-3799,BURKETT ST,ST
Theft,"Road, Street, or Sidewalk",2800-2899,SAINT EMANUEL ST,ST
Theft,Commercial Parking Lot or Garage,2500-2599,WEBSTER ST,ST
Aggravated Assault,Residence or House,3000-3099,ENNIS,ST
Theft,"Road, Street, or Sidewalk",2200-2299,SAINT EMANUEL ST,ST
Burglary,Residence or House,3000-3099,PAIGE,-
Theft,"Road, Street, or Sidewalk",3200-3299,ANITA ST,ST
Burglary,Residence or House,3300-3399,MCGOWEN,ST
Aggravated Assault,Residence or House,3800-3899,RICHMOND,AVE
Burglary,Residence or House,2100-2199,WINBERN STREET,-
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,FANNIN,ST
Burglary,Office Building,2500-2599,HOLMAN,-
Burglary,Residence or House,2800-2899,TIERWESTER,-
Burglary,Residence or House,3300-3399,MCGOWEN,ST
Theft,Residence or House,3000-3099,ENNIS,-
Theft,"Libraries, Museums",4800-4899,CALHOUN RD,RD
Theft,Residence or House,2800-2899,ANITA ST.,-
Theft,"Other, Unknown, or Not Listed",3200-3299,HOMELESS,-
Theft,Driveway,3300-3399,WESTHEIMER,RD
Burglary,Residence or House,3500-3599,BASTROP ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",2900-2999,SAMPSON,-
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,ANITA,ST
Burglary,Residence or House,2800-2899,CLEBURNE ST,ST
Theft,Garage or Carport,2000-2099,TUAM,ST
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,TUAM,-
Aggravated Assault,Residence or House,4600-4699,WHITE ROCK,ST
Burglary,"Laundry, Dry Cleaners, Washaterias",3000-3099,TRUXILLO,-
AutoTheft,"Road, Street, or Sidewalk",12300-12399,GULF,FWY
Aggravated Assault,"Road, Street, or Sidewalk",3600-3699,ELGIN ST,ST
Aggravated Assault,Residence or House,14500-14599,ELLA BLVD APT 2310,-
AutoTheft,Driveway,3200-3299,ALABAMA ST,ST
Aggravated Assault,"Church, Synagogue, or Temple Parking Lot",2500-2599,DELANO,-
Aggravated Assault,Residence or House,3300-3399,TUAM,-
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,BREMOND ST,ST
Burglary,Residence or House,7900-7999,MILITARY,PKWY
Theft,Service or Gas Station,2200-2299,SAINT EMANUEL ST,ST
Burglary,Residence or House,3400-3499,DREW ST,ST
Theft,Residence or House,3200-3299,TRUXILLO,-
Robbery,"Road, Street, or Sidewalk",3800-3899,EMANCIPATION AVE,-
Theft,Residence or House,3600-3699,BRILEY APT A,-
Aggravated Assault,Residence or House,3400-3499,SIMMONS,-
Robbery,Convenience Store,3700-3799,DREW,ST
Aggravated Assault,Residence or House,2500-2599,WOODLAND PARK DR APT E101,-
AutoTheft,Residence or House,3700-3799,BURKETT ST,ST
Aggravated Assault,Apartment,1000-1099,9TH,ST
Theft,Grocery Store or Supermarket Parking Lot,3800-3899,SCOTT ST,ST
Aggravated Assault,Apartment,4500-4599,HEMLOCK,DR
AutoTheft,Commercial Parking Lot or Garage,4400-4499,MACGREGOR WAY,-
Theft,Apartment,5000-5099,PAIGE,-
Burglary,Residence or House,3100-3199,ARBOR ST,ST
Rape,"Hotel, Motel, Inn, Etc.",3000-3099,QUAIL RUN,DR
Burglary,Apartment,5500-5599,SAMPSON,-
Murder,Convenience Store Parking Lot,2600-2699,WHEELER,ST
Theft,Other Parking Lot,3800-3899,OLD SPANISH TRL,-
AutoTheft,"Road, Street, or Sidewalk",2500-2599,ROSEWOOD,-
Burglary,Apartment,2400-2499,SOUTHMORE BLVD,BLVD
Theft,Commercial Parking Lot or Garage,4200-4299,BASTROP ST,ST
Theft,Residence or House,4300-4399,FACULTY LN,-
AutoTheft,Apartment Parking Lot,2500-2599,BACHELOR BUTTON,BLVD
Aggravated Assault,Apartment,3700-3799,SOUTHMORE BLVD,BLVD
Theft,Other Parking Lot,5200-5299,SCOTT ST,ST
Burglary,Apartment,2200-2299,WHEELER ST,ST
Theft,"Road, Street, or Sidewalk",6900-6999,LOOP EAST,ST
Theft,"Road, Street, or Sidewalk",2300-2399,BLODGETT ST,ST
Theft,Bar or Night Club Parking Lot,2400-2499,WENTWORTH ST,ST
Theft,Driveway,3100-3199,SOUTHMORE BLVD,BLVD
Theft,"Road, Street, or Sidewalk",3300-3399,DIXIE DR,-
Theft,Other Parking Lot,2600-2699,S CALUMET ST,ST
Theft,"Road, Street, or Sidewalk",700-799,ELEANOR,ST
AutoTheft,"Road, Street, or Sidewalk",2200-2299,BLODGETT ST,ST
