Offense Type,Premise,BlockRange,StreetName,Type
Theft,"Road, Street, or Sidewalk",1100-1199,HOLCOMBE,BLVD
Robbery,Strip Business Center Parking Lot,2200-2299,SOUTHMORE,BLVD
Theft,"Road, Street, or Sidewalk",2100-2199,SOUTHMORE,BLVD
Burglary,Residence or House,2200-2299,EWING,ST
Theft,Residence or House,1500-1599,WHEELER,-
Theft,Apartment Parking Lot,UNK,HERMANN PARK,CT
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",6100-6199,GRAND,BLVD
Theft,Hospital,1300-1399,HERMANN,-
Theft,Service or Gas Station,3200-3299,HOLCOMBE,BLVD
Theft,"Other, Unknown, or Not Listed",5500-5599,HERMANN PARK,DR
Theft,Other Parking Lot,1600-1699,HERMANN,DR
Theft,Residence or House,1400-1499,RUTH,-
Auto Theft,Apartment Parking Lot,5700-5799,ALMEDA,RD
Burglary,Apartment,7000-7099,ALMEDA,RD
Theft,Hospital,6500-6599,FANNIN,ST
Theft,Other Parking Lot,6900-6999,GRAND,BLVD
Theft,Hospital,6500-6599,FANNIN,ST
