Offense Type,Premise,BlockRange,StreetName,Type
Theft,Bus Station,1500-1599,CAMBRIDGE ST,ST
Theft,Commercial Parking Lot or Garage,300-399,PAULA,AVE
Theft,Apartment Parking Lot,2900-2999,OLD SPANISH TRL,-
Theft,Apartment Parking Lot,2900-2999,OLD SPANISH TRL,-
Theft,Residence or House,2900-2999,OLD SPANISH TRL,-
Theft,"Hotel, Motel, Inn, Etc.",6500-6599,FANNIN ST,ST
Theft,Hospital,UNK,BAYLOR PLAZA,-
Theft,"Hotel, Motel, Inn, Etc.",6600-6699,FANNIN ST,ST
Theft,Other Parking Lot,1600-1699,PO BOX 81529,-
Theft,"Other, Unknown, or Not Listed",1800-1899,EWING ST,ST
Theft,Other Parking Lot,1500-1599,BINZ ST,ST
Theft,"Road, Street, or Sidewalk",6600-6699,FANNIN ST,ST
Theft,"Parks and Recreation, Zoo, Swimming Pool",2000-2099,HERMANN DR,-
Theft,Other Parking Lot,25000-25099,COUNTY CLUB,BLVD
Theft,"Parks and Recreation, Zoo, Swimming Pool",6200-6299,HERMANN PARK DR,-
Theft,"Road, Street, or Sidewalk",1500-1599,WHEELER ST,ST
Theft,Commercial Parking Lot or Garage,UNK,FANNIN ST/SAN JACINTO ST,ST
Theft,Hospital,6600-6699,FANNIN,ST
AutoTheft,"Parks and Recreation, Zoo, Swimming Pool",5800-5899,SOUTHSEAS,-
AutoTheft,Commercial Parking Lot or Garage,UNK,HERMANN PARK CT,-
Aggravated Assault,Bar or Night Club Parking Lot,5000-5099,PO BOX 2546,-
Theft,Convenience Store,5100-5199,ALMEDA,RD
AutoTheft,Strip Business Center Parking Lot,5500-5599,ARBOLES,DR
Aggravated Assault,"Road, Street, or Sidewalk",5500-5599,MAIN,ST
Theft,Service or Gas Station,3200-3299,OLD SPANISH TRL,-
Theft,Apartment Parking Lot,7000-7099,ALMEDA RD,RD
AutoTheft,Miscellaneous Business (Non-Specific),3100-3199,HOLCOMBE,BLVD
Aggravated Assault,"Road, Street, or Sidewalk",1500-1599,EAGLE ST,ST
Theft,Vacant Building (Commercial),7200-7299,CAMBRIDGE ST,ST
Theft,Other Parking Lot,1600-1699,HERMANN DR,-
Theft,Hospital,6500-6599,DUNN TOWER EAST,ST
Theft,Hospital,6600-6699,MAIN,ST
Theft,Hospital,6500-6599,FANNIN ST,ST
Theft,Other Parking Lot,1800-1899,HERMANN DR,-
Rape,"Road, Street, or Sidewalk",2000-2099,N. FRAZIER,-
Burglary,Residence or House,1800-1899,ARBOR ST,ST
